Drugs,Molecular weight,Hydrogen bond acceptor,Hydrogen bond donor,Rotatable bonds,Topological polar surface area,log P,Aromatic bonds
Thioridazine,370.91,2,0,6,3.24,5.3,12
Methoxyflurane,164.97,1,0,2,9.23,2.6,0
Sulforidazine,400.98,2,1,6,55.56,4.5,12
Ethylbenzene,106.17,0,0,2,0,3.7,6
Secobarbital,238.28,4,2,5,60.53,2.1,0
Sufentanil,386.45,4,1,11,23.47,3.2,6
Atevirdine,371.47,5,2,8,87.19,3.1,18
Fluoromisonidazole,179.06,4,2,2,64.38,0.4,0
Risperidone,410.49,4,1,5,69.25,3.2,12
Alprazolam,308.77,4,1,1,43.71,2.7,12
Valinomycin,1111.34,12,0,10,280.64,7.7,0
Dexclamol,237.29,4,1,3,69.12,3.9,6
Fluvastatin,411.46,4,2,8,82.69,2.2,6
Amesergide,427.53,5,2,9,35.53,2.8,12
Cefcapene,399.41,7,2,8,140.59,1.1,6
Deprodone,356.47,3,2,6,94.83,2,0
Doxibetasol,480.6,4,2,5,94.83,3.1,0
Algestone,344.46,3,2,2,74.6,3,0
Ergotamine,581.68,5,4,6,109.83,2.6,18
Cytisine,190.24,4,1,0,55.6,0.9,12
Amiodarone,645.32,2,1,8,44.12,7.1,6
Lupitidine,421.52,4,1,5,35.53,2.8,6
Cortivazol,438.46,4,2,2,94.83,3.4,6
Triamcinolone-diacetate,434.5,6,2,4,111.12,1.8,0
Dexamethasone-acefurate,476.47,6,2,4,117.55,1.9,0
Diflorasone-diacetate,474.52,6,2,4,111.12,3.1,0
Fluazacort,394.44,4,2,4,111.12,2.5,0
Deflazacort,441.51,4,2,4,117.55,1.3,0
Formocortal,408.48,4,2,4,94.83,3.4,0
Fluocinonide,494.54,5,2,4,107.22,3,0
Amcinonide,434.51,5,2,4,107.22,2.7,0
Naloxone,327.37,3,1,3,63.6,1.4,6
Diacetylnalorphine,403.44,4,0,5,82.74,3.2,6
Alletorphine,401.5,4,0,5,40.46,2.5,6
Cabergoline,451.6,3,2,8,42.9,3.4,18
Napitane,329.37,1,0,3,43.71,3.3,6
Quinupramine,401.54,3,1,6,23.55,2.5,12
Pazopanib,437.52,7,1,5,87.19,3.9,24
Ramelteon,259.34,2,1,3,48.69,3,12
Pergolide,314.42,3,1,8,34.92,2.7,12
Sunitinib,398.47,6,2,5,83.33,3.6,18
Etomidate,244.28,2,1,5,43.71,2.3,0
Carbinoxamine,278.33,3,2,5,45.08,2.4,12
Flavopiridol,401.82,4,3,6,95.23,1.9,18
Ergotamine,581.68,5,4,6,109.83,3.9,18
Sorafenib,464.83,5,2,7,92.93,4.4,12
Duloxetine,297.42,3,1,5,38.91,3.5,6
Dexmethylphenidate,233.31,4,1,3,38.33,4.8,12
Sirolimus,914.17,5,1,10,144.96,5.2,12
Temsirolimus,1030.31,5,1,12,153.13,3.6,18
Semaxanib,361.38,4,1,6,83.05,0.2,0
Dichloroacetate,127.94,2,0,0,26.3,1,0
Hydantoin,112.1,2,2,0,50.75,1.7,12
Fasudil,291.35,4,3,3,103.47,2.9,6
Vesamicol,277.37,2,1,4,35.53,2.4,6
Nalbuphine,357.44,4,2,3,63.6,0.5,0
Biotin,244.31,4,2,3,103.78,2.8,12
Rolicyprine,414.55,3,1,5,45.08,2.1,12
Tandospirone,370.88,4,1,6,61.44,3.1,0
Celucloral,308.75,3,0,0,37.57,1.3,6
Chloralose,308.75,4,0,1,57.22,4.2,12
Clopenthixol,391.97,2,1,4,6.51,2.6,6
Phenomorphan,311.4,3,1,5,63.6,2.8,6
Norlevorphanol,255.33,3,1,4,63.6,2.7,6
Proxorphan,269.36,3,1,4,63.6,1.4,6
Normorphine,285.34,3,2,4,63.6,1.5,6
Nalbuphine,357.44,4,2,3,63.6,1.5,6
Azidamfenicol,289.71,4,1,7,103.78,2.9,0
Nalorphine,311.38,3,2,4,63.6,2.1,0
Cortexolone,346.47,4,2,2,94.83,2.7,0
Dichlorisone,396.62,4,2,4,94.83,2.8,0
Isoflupredone,416.52,4,2,2,94.83,2.4,0
Cloprednol,426.9,3,2,4,94.83,3.2,0
Oxisopred,418.5,3,2,4,94.83,2.5,18
Loteprednol,404.5,4,2,4,94.83,2.3,0
Bromocriptine,654.6,3,2,8,42.9,2.5,0
Fluocortin,448.52,4,2,3,94.83,2.6,0
Flumetasone,410.5,4,2,4,94.83,2.7,0
Cormetasone,380.46,4,2,4,94.83,3.4,0
Halocortolone,394.52,4,2,4,94.83,2.2,0
Diflucortolone,428.52,4,2,4,94.83,2.4,0
Meclorisone,340.46,4,2,4,94.83,2.5,0
Halometasone,446.5,4,2,4,94.83,2.3,0
Clocortolone,404.5,4,2,4,94.83,2.4,0
Cloticasone,418.51,4,2,4,94.83,1.9,6
Fluticasone,444.49,4,2,4,94.83,2.1,6
Racemethorphan,285.37,2,1,4,38.33,1.8,6
Dihydrocodeine,301.4,2,1,4,63.6,1.5,6
Thebacon,289.35,3,1,4,63.6,1.7,6
Norcodeine,285.33,2,1,4,63.6,3.1,6
Nicodicodine,285.33,2,1,5,63.6,2.6,6
Lortalamine,269.32,2,1,7,44.23,2.8,6
Eptazocine,315.41,3,1,6,44.23,3,6
Pentamorphone,325.41,3,1,5,63.6,2.4,6
Desomorphine,271.35,2,1,4,63.6,1.4,12
Methyldihydromorphine,271.35,2,1,4,63.6,2.7,6
Delergotrile,331.39,3,0,8,44.23,2.9,6
Homatropine,275.36,3,1,4,38.33,2.4,0
Hyoscyamine,289.38,3,1,5,38.33,2.5,0
Budesonide,430.53,5,2,4,94.83,2.6,6
Prednival,416.5,3,2,4,94.83,2.8,0
Methastyridone,406.5,3,0,4,94.83,2.9,0
Halcinonide,492.56,4,2,4,94.83,3,0
